ClusterGroup,Date,WeekDay,Month
9,2016-10-26,Wednesday,10
10,2016-12-16,Friday,12
10,2016-05-23,Monday,5
10,2016-11-10,Thursday,11
10,2016-06-16,Thursday,6
10,2016-10-21,Friday,10
10,2016-12-01,Thursday,12
10,2016-05-20,Friday,5
10,2016-01-29,Friday,1
10,2016-05-03,Tuesday,5
10,2016-05-25,Wednesday,5
10,2016-06-08,Wednesday,6
10,2016-05-13,Friday,5
10,2016-09-23,Friday,9
10,2016-05-27,Friday,5
11,2016-06-18,Saturday,6
11,2016-06-25,Saturday,6
11,2016-05-07,Saturday,5
11,2016-07-16,Saturday,7
11,2016-07-30,Saturday,7
11,2016-06-02,Thursday,6
11,2016-09-03,Saturday,9
11,2016-09-10,Saturday,9
11,2016-10-08,Saturday,10
11,2016-06-03,Friday,6
11,2016-05-21,Saturday,5
11,2016-09-24,Saturday,9
